test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.actual_rate,detail.agent_trace,detail.audit_action,detail.avg_rating,detail.base_rate,detail.config_dir,detail.cost,detail.count,detail.decrypted,detail.error,detail.error_rate,detail.estimated,detail.has_pii,detail.high_is_anomaly,detail.injection_detected,detail.injection_score,detail.invalid_check,detail.latency_mean,detail.llm_trace,detail.match,detail.model,detail.normal_is_anomaly,detail.original,detail.pii_count,detail.pii_types,detail.redacted,detail.rendered,detail.response,detail.retention_days,detail.safe_is_injection,detail.safe_passed,detail.separate_by_type,detail.session_total,detail.span_id,detail.span_type,detail.status,detail.template,detail.text,detail.throughput_tps,detail.tokens,detail.tool_trace,detail.total_turns,detail.trace,detail.trace_agent,detail.trace_llm,detail.trace_tool,detail.unsafe_passed,detail.unsafe_violations,detail.user_turns,detail.valid_check,detail.variant
f2223b36_0,tracer_span,pass,core.tracer,core,2026-04-05T09:54:56.626169,0.07939338684082031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d11218fc4f7dc7d,llm,,,,,,,,,,,,,,,,
f2223b36_1,decorators,pass,core.decorators,core,2026-04-05T09:54:56.627033,0.8256435394287109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Done: Task,Response: Hello,50,,,,,
f2223b36_2,context_managers,pass,core.context_manager,core,2026-04-05T09:54:56.627253,0.202178955078125,,,,325b70d24c084e23abb60fed7d9caa98,,,,,,,,,,,,,,,,,b87f8baf3c4a4a5a832d8a7c51d4e0e8,,,,,,,,,,,,,,,,,,,,,,28dd95a703994905bb80e09ca10bde91,,,,,,,,,,
f2223b36_3,sampling,pass,core.sampling,core,2026-04-05T09:54:56.630408,3.1290054321289062,,,0.39,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_4,token_counting,pass,telemetry.tokens,telemetry,2026-04-05T09:54:56.865878,235.4130744934082,,,,,,,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, how are you doing today?",,,,,,,,,,,,,
f2223b36_5,cost_estimation,pass,telemetry.cost,telemetry,2026-04-05T09:54:56.873127,7.19761848449707,,,,,,,,,"{'input_cost_usd': 0.03, 'output_cost_usd': 0.03, 'cache_cost_usd': 0.0, 'total_cost_usd': 0.06}",,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,
f2223b36_6,metrics,pass,telemetry.metrics,telemetry,2026-04-05T09:54:56.891867,18.68748664855957,,,,,,,,,,,,,0.2,,,,,,,137.5,,,,,,,,,,,,,,,,,,,,,450000.0,,,,,,,,,,,,
f2223b36_7,anomaly_detection,pass,telemetry.anomaly,telemetry,2026-04-05T09:54:56.926727,34.813642501831055,,,,,,,,,,,,,,,,True,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_8,pii_detection,pass,privacy.pii,privacy,2026-04-05T09:54:56.943052,16.271591186523438,,,,,,,,,,,,,,,True,,,,,,,,,,,3,"['email', 'phone_us', 'ssn']",Contact [email redacted] or call [phone redacted]. SSN: ***-**-****,,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_9,encryption,pass,privacy.encryption,privacy,2026-04-05T09:54:56.972707,29.59275245666504,,,,,,,,,,,Sensitive data,,,,,,,,,,,True,,,Sensitive data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_10,compliance,pass,privacy.compliance,privacy,2026-04-05T09:54:56.986495,13.735294342041016,,,,,read,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,
f2223b36_11,injection_detection,pass,security.injection,security,2026-04-05T09:54:56.999857,13.30423355102539,,,,,,,,,,,,,,,,,True,0.95,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,
f2223b36_12,guardrails,pass,security.guardrails,security,2026-04-05T09:54:57.000121,0.22602081298828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,False,['pii_in_output'],,,
f2223b36_13,domain_enforcer,pass,security.domain_enforcer,security,2026-04-05T09:54:57.005966,5.81812858581543,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
f2223b36_14,feedback,pass,intelligence.feedback,intelligence,2026-04-05T09:54:57.006171,0.16427040100097656,,,,,,3.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_15,conversation,pass,intelligence.conversation,intelligence,2026-04-05T09:54:57.025961,19.759178161621094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,2,,
f2223b36_16,prompt_registry,pass,prompt_management.registry,prompt_management,2026-04-05T09:54:57.042188,16.175031661987305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hello World!,,,,,,,,,,Hello {{name}}!,,,,,,,,,,,,,,
f2223b36_17,ab_testing,pass,prompt_management.ab_testing,prompt_management,2026-04-05T09:54:57.043929,1.692056655883789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B
f2223b36_18,playground,pass,prompt_management.playground,prompt_management,2026-04-05T09:54:57.049997,6.026506423950195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hello {Test}!,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_19,csv_exporter,pass,exporters.csv,exporters,2026-04-05T09:54:57.050911,0.8552074432373047,,,,,,,,outputs\test_csv,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,
f2223b36_20,batch_exporter,fail,exporters.batch,exporters,2026-04-05T09:54:57.061856,10.897636413574219,,'CircularBuffer' object has no attribute 'get_all',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2223b36_21,azure_openai,pass,api.azure_openai,api_integration,2026-04-05T09:55:02.771146,5709.177255630493,,,,,,,,,,,,,,,,,,,,,,,gpt-4.1,,,,,,,4,,,,,,,,,,,,21,,,,,,,,,,,
f2223b36_22,gemini,pass,api.gemini,api_integration,2026-04-05T09:55:06.964974,4193.748712539673,,,,,,,,,,,,"429 You exceeded your current quota, please check your plan and billing details. For more informatio",,,,,,,,,,,,,,,,,,,,,,,,,,error,,,,,,,,,,,,,,,
