test_id,name,status,module,functionality,timestamp,duration_ms,message,error,detail.actual_rate,detail.agent_trace,detail.audit_action,detail.avg_rating,detail.base_rate,detail.buffer_size,detail.config_dir,detail.cost,detail.count,detail.decrypted,detail.error,detail.error_rate,detail.estimated,detail.has_pii,detail.high_is_anomaly,detail.injection_detected,detail.injection_score,detail.invalid_check,detail.items,detail.latency_mean,detail.llm_trace,detail.match,detail.model,detail.normal_is_anomaly,detail.original,detail.pii_count,detail.pii_types,detail.redacted,detail.rendered,detail.response,detail.retention_days,detail.safe_is_injection,detail.safe_passed,detail.separate_by_type,detail.session_total,detail.span_id,detail.span_type,detail.status,detail.template,detail.text,detail.throughput_tps,detail.tokens,detail.tool_trace,detail.total_turns,detail.trace,detail.trace_agent,detail.trace_llm,detail.trace_tool,detail.unsafe_passed,detail.unsafe_violations,detail.user_turns,detail.valid_check,detail.variant
cb695d9a_0,tracer_span,pass,core.tracer,core,2026-04-05T09:55:40.306088,0.07295608520507812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d11cc2fea070704,llm,,,,,,,,,,,,,,,,
cb695d9a_1,decorators,pass,core.decorators,core,2026-04-05T09:55:40.306632,0.5128383636474609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Done: Task,Response: Hello,50,,,,,
cb695d9a_2,context_managers,pass,core.context_manager,core,2026-04-05T09:55:40.306850,0.2014636993408203,,,,0e24c5baf70a4318b1ed7c228b94a57e,,,,,,,,,,,,,,,,,,,97a84b4347c24139a78560f0850ee68f,,,,,,,,,,,,,,,,,,,,,,605952c9c1f947798e3f8cdb06cba798,,,,,,,,,,
cb695d9a_3,sampling,pass,core.sampling,core,2026-04-05T09:55:40.307773,0.8988380432128906,,,0.52,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb695d9a_4,token_counting,pass,telemetry.tokens,telemetry,2026-04-05T09:55:40.514483,206.65454864501953,,,,,,,,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hello, how are you doing today?",,,,,,,,,,,,,
cb695d9a_5,cost_estimation,pass,telemetry.cost,telemetry,2026-04-05T09:55:40.516783,2.249479293823242,,,,,,,,,,"{'input_cost_usd': 0.03, 'output_cost_usd': 0.03, 'cache_cost_usd': 0.0, 'total_cost_usd': 0.06}",,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,
cb695d9a_6,metrics,pass,telemetry.metrics,telemetry,2026-04-05T09:55:40.522697,5.867719650268555,,,,,,,,,,,,,,0.2,,,,,,,,137.5,,,,,,,,,,,,,,,,,,,,,450000.0,,,,,,,,,,,,
cb695d9a_7,anomaly_detection,pass,telemetry.anomaly,telemetry,2026-04-05T09:55:40.549375,26.631593704223633,,,,,,,,,,,,,,,,,True,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb695d9a_8,pii_detection,pass,privacy.pii,privacy,2026-04-05T09:55:40.556705,7.27391242980957,,,,,,,,,,,,,,,,True,,,,,,,,,,,,3,"['email', 'phone_us', 'ssn']",Contact [email redacted] or call [phone redacted]. SSN: ***-**-****,,,,,,,,,,,,,,,,,,,,,,,,,
cb695d9a_9,encryption,pass,privacy.encryption,privacy,2026-04-05T09:55:40.580443,23.682355880737305,,,,,,,,,,,,Sensitive data,,,,,,,,,,,,True,,,Sensitive data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
